fold,val_accuracy,val_macro_f1_present_classes,val_macro_f1_all_classes,best_epoch,best_val_accuracy_during_training,epochs_ran,train_images,val_images,train_groups,val_groups,missing_val_labels
1,0.9831144465290806,0.9833722973353364,0.9833722973353364,22,0.9831144213676453,32,806,533,"v02,v06,v08,v09,v12,v14,v21,v22","v04,v05,v15,v17,v20",
2,0.9397163120567376,0.9388686414112396,0.9388686414112396,14,0.9397163391113281,24,775,564,"v04,v05,v12,v14,v15,v17,v20,v21","v02,v06,v08,v09,v22",
3,0.9752066115702479,0.9743875536978986,0.8351893317410559,7,0.9752066135406494,17,1097,242,"v02,v04,v05,v06,v08,v09,v15,v17,v20,v22","v12,v14,v21",0_healthy
