accuracy,loss,val_accuracy,val_loss,learning_rate
0.5856079459190369,1.3441482782363892,0.45028141140937805,1.903272271156311,0.0005000000237487257
0.7431761622428894,0.8983098864555359,0.10131332278251648,2.393242120742798,0.0005000000237487257
0.8300248384475708,0.6806904673576355,0.10131332278251648,3.512486457824707,0.0005000000237487257
0.8684863448143005,0.58836430311203,0.10131332278251648,2.62192440032959,0.0005000000237487257
0.9119106531143188,0.5400848984718323,0.4202626645565033,1.2707159519195557,0.0005000000237487257
0.9503722190856934,0.44133803248405457,0.889305830001831,0.5973965525627136,0.0002500000118743628
0.9553349614143372,0.4164399802684784,0.9718574285507202,0.3552301526069641,0.0002500000118743628
0.9516128897666931,0.41700685024261475,0.9380863308906555,0.4799538254737854,0.0002500000118743628
0.9565756916999817,0.3965330719947815,0.9831144213676453,0.3679724931716919,0.0002500000118743628
0.9727047085762024,0.382208913564682,0.9812382459640503,0.33511924743652344,0.0002500000118743628
0.9615384340286255,0.40317878127098083,0.9831144213676453,0.32279422879219055,0.0002500000118743628
0.9863523840904236,0.35411059856414795,0.9737336039543152,0.3547557592391968,0.0002500000118743628
0.977667510509491,0.3650021553039551,0.9887429475784302,0.3376772105693817,0.0002500000118743628
0.9900744557380676,0.3420479893684387,0.9849905967712402,0.31883880496025085,0.0002500000118743628
0.9789081811904907,0.3712913691997528,0.9849905967712402,0.3540594279766083,0.0002500000118743628
0.9801489114761353,0.34966233372688293,0.9849905967712402,0.3210129141807556,0.0002500000118743628
0.9888337254524231,0.3339759409427643,0.9887429475784302,0.3218660354614258,0.0002500000118743628
0.9888337254524231,0.3432990610599518,0.9868667721748352,0.31567588448524475,0.0001250000059371814
0.985111653804779,0.3441404402256012,0.9868667721748352,0.3379374146461487,0.0001250000059371814
0.9925558567047119,0.3351334035396576,0.9924952983856201,0.3074289858341217,0.0001250000059371814
0.9913151264190674,0.33202069997787476,0.9849905967712402,0.32211747765541077,0.0001250000059371814
0.9863523840904236,0.33133664727211,0.9887429475784302,0.3165053129196167,0.0001250000059371814
0.9888337254524231,0.33987945318222046,0.9887429475784302,0.31763845682144165,0.0001250000059371814
0.9937965273857117,0.32919842004776,0.9868667721748352,0.31494832038879395,0.0001250000059371814
0.9987593293190002,0.3186618983745575,0.9868667721748352,0.3212350606918335,6.25000029685907e-05
0.9900744557380676,0.33733251690864563,0.9924952983856201,0.319877564907074,6.25000029685907e-05
0.9925558567047119,0.32777196168899536,0.9924952983856201,0.3148657977581024,6.25000029685907e-05
0.9937965273857117,0.3283263146877289,0.9906191229820251,0.3154349625110626,6.25000029685907e-05
0.9950371980667114,0.31857818365097046,0.9887429475784302,0.31150272488594055,3.125000148429535e-05
0.9900744557380676,0.33183950185775757,0.9887429475784302,0.31525906920433044,3.125000148429535e-05
