learning_rate,augmentation,model_size,label_smoothing,experiment_name,config_name,mean_val_accuracy,std_val_accuracy,mean_val_macro_f1_present_classes,std_val_macro_f1_present_classes,mean_val_macro_f1_all_classes,std_val_macro_f1_all_classes,overall_pooled_accuracy,overall_pooled_macro_f1,median_best_epoch,mean_best_epoch
0.0005,none,current,0.0,stage_label_smoothing,lr_0p0005__aug_none__model_current__ls_0p0,0.9919839102152638,0.004163182421662845,0.9935766949596537,0.003977728806507446,0.9460448617135347,0.07835098830521112,0.9910380881254668,0.9920887329680305,16,21.666666666666668
0.0005,none,current,0.03,stage_label_smoothing,lr_0p0005__aug_none__model_current__ls_0p03,0.9895854697005803,0.006857809715109296,0.9885634989646076,0.00879910043727419,0.9410316657184886,0.07406497162795998,0.988050784167289,0.9872552303108625,19,22.666666666666668
0.0005,none,current,0.05,stage_label_smoothing,lr_0p0005__aug_none__model_current__ls_0p05,0.9902108605698737,0.0070811180971472095,0.9904681694695535,0.007162698304091886,0.9429363362234345,0.07570401272872126,0.9887976101568334,0.9886604807467414,19,18.0
0.0005,none,current,0.1,stage_label_smoothing,lr_0p0005__aug_none__model_current__ls_0p1,0.992643675405387,0.005916334137774,0.9936468721963001,0.00583894725104774,0.9461150389501811,0.07853123776609904,0.9917849141150112,0.9923287596132602,19,17.666666666666668
