learning_rate,augmentation,model_size,label_smoothing,experiment_name,config_name,mean_val_accuracy,std_val_accuracy,mean_val_macro_f1_present_classes,std_val_macro_f1_present_classes,mean_val_macro_f1_all_classes,std_val_macro_f1_all_classes,overall_pooled_accuracy,overall_pooled_macro_f1,median_best_epoch,mean_best_epoch
0.001,mild,current,0.05,stage_learning_rate,lr_0p001__aug_mild__model_current__ls_0p05,0.9844038180477299,0.021839100878792886,0.9826292265992663,0.02665395811973591,0.9350973933531473,0.07261149222867241,0.9813293502613891,0.9797300950809104,17,18.666666666666668
0.0005,mild,current,0.05,stage_learning_rate,lr_0p0005__aug_mild__model_current__ls_0p05,0.9844038180477299,0.021839100878792886,0.9841864126847598,0.0243905613156129,0.9366545794386408,0.07334127439282158,0.9813293502613891,0.9820923770037168,16,14.666666666666666
0.0003,mild,current,0.05,stage_learning_rate,lr_0p0003__aug_mild__model_current__ls_0p05,0.9777651387313132,0.026937365325425996,0.9718062319480719,0.033682899760703475,0.9242743987019529,0.06444550198084338,0.9731142643764003,0.9696305371504206,22,18.0
0.0001,mild,current,0.05,stage_learning_rate,lr_0p0001__aug_mild__model_current__ls_0p05,0.946607149147603,0.07199665452121089,0.9434481287836539,0.07538798911739682,0.8963786581508456,0.07729202376750763,0.9357729648991785,0.9350929291095565,16,16.666666666666668
