accuracy,loss,val_accuracy,val_loss,learning_rate
0.42206016182899475,1.581477165222168,0.11983471363782883,3.210535764694214,0.0005000000237487257
0.6563354730606079,1.090446949005127,0.0,3.994417905807495,0.0005000000237487257
0.7611668109893799,0.8401923179626465,0.1528925597667694,2.4511678218841553,0.0005000000237487257
0.8158614635467529,0.66035395860672,0.38842976093292236,1.5630824565887451,0.0005000000237487257
0.8459435105323792,0.6365042924880981,0.6776859760284424,1.2261466979980469,0.0005000000237487257
0.8805834054946899,0.5803843140602112,0.9173553586006165,0.49558359384536743,0.0005000000237487257
0.8960801959037781,0.5442249774932861,0.9752066135406494,0.4160703122615814,0.0005000000237487257
0.9070191383361816,0.5122781991958618,0.9256198406219482,0.5454872846603394,0.0005000000237487257
0.912488579750061,0.5000883340835571,0.9752066135406494,0.42133745551109314,0.0005000000237487257
0.935278058052063,0.45934292674064636,0.9049586653709412,0.5982569456100464,0.0005000000237487257
0.9434822201728821,0.43805456161499023,0.9545454382896423,0.47994720935821533,0.0005000000237487257
0.9453054070472717,0.4065608084201813,0.9710744023323059,0.391296923160553,0.0002500000118743628
0.9498632550239563,0.4125302731990814,0.942148745059967,0.4827824532985687,0.0002500000118743628
0.9443938136100769,0.42467978596687317,0.9710744023323059,0.40019315481185913,0.0002500000118743628
0.9425706267356873,0.4245254397392273,0.9380165338516235,0.48048335313796997,0.0002500000118743628
0.9589790105819702,0.38933616876602173,0.9628099203109741,0.40213266015052795,0.0001250000059371814
0.9635369181632996,0.3855791687965393,0.9628099203109741,0.397026002407074,0.0001250000059371814
