clip_id,timestamp,player_panel,raw_status,status,confidence
50,0.0,0,1_injured,injured,0.776
50,0.0,1,0_healthy,healthy,0.552
50,0.0,2,0_healthy,healthy,0.486
50,0.0,3,0_healthy,healthy,0.456
50,0.0,4,0_healthy,healthy,0.572
50,2.0,0,1_injured,injured,0.41
50,2.0,1,0_healthy,healthy,0.307
50,2.0,2,0_healthy,healthy,0.574
50,2.0,3,0_healthy,healthy,0.615
50,2.0,4,0_healthy,healthy,0.632
50,4.0,0,6_escaped,escaped,0.738
50,4.0,1,5_eliminated,eliminated,0.309
50,4.0,2,0_healthy,healthy,0.593
50,4.0,3,0_healthy,healthy,0.548
50,4.0,4,0_healthy,healthy,0.515
50,6.0,0,6_escaped,escaped,0.51
50,6.0,1,5_eliminated,eliminated,0.686
50,6.0,2,5_eliminated,eliminated,0.359
50,6.0,3,0_healthy,healthy,0.227
50,6.0,4,5_eliminated,eliminated,0.329
50,8.0,0,6_escaped,escaped,0.488
50,8.0,1,5_eliminated,eliminated,0.698
50,8.0,2,5_eliminated,eliminated,0.305
50,8.0,3,0_healthy,healthy,0.247
50,8.0,4,5_eliminated,eliminated,0.222
50,10.0,0,6_escaped,escaped,0.471
50,10.0,1,5_eliminated,eliminated,0.64
50,10.0,2,1_injured,injured,0.352
50,10.0,3,0_healthy,healthy,0.221
50,10.0,4,6_escaped,escaped,0.228
50,12.0,0,6_escaped,escaped,0.405
50,12.0,1,5_eliminated,eliminated,0.399
50,12.0,2,5_eliminated,eliminated,0.401
50,12.0,3,0_healthy,healthy,0.276
50,12.0,4,6_escaped,escaped,0.542
50,14.0,0,6_escaped,escaped,0.422
50,14.0,1,5_eliminated,eliminated,0.671
50,14.0,2,1_injured,injured,0.337
50,14.0,3,0_healthy,healthy,0.31
50,14.0,4,6_escaped,escaped,0.288
50,16.0,0,6_escaped,escaped,0.444
50,16.0,1,5_eliminated,eliminated,0.576
50,16.0,2,1_injured,injured,0.362
50,16.0,3,0_healthy,healthy,0.269
50,16.0,4,6_escaped,escaped,0.285
50,18.0,0,6_escaped,escaped,0.424
50,18.0,1,5_eliminated,eliminated,0.744
50,18.0,2,1_injured,injured,0.354
50,18.0,3,0_healthy,healthy,0.293
50,18.0,4,6_escaped,escaped,0.351
