clip_id,timestamp,player_panel,raw_status,status,confidence
46,0.0,0,5_eliminated,eliminated,0.356
46,0.0,1,0_healthy,healthy,0.351
46,0.0,2,0_healthy,healthy,0.58
46,0.0,3,0_healthy,healthy,0.609
46,0.0,4,0_healthy,healthy,0.618
46,2.0,0,5_eliminated,eliminated,0.686
46,2.0,1,5_eliminated,eliminated,0.725
46,2.0,2,0_healthy,healthy,0.694
46,2.0,3,0_healthy,healthy,0.544
46,2.0,4,0_healthy,healthy,0.385
46,4.0,0,5_eliminated,eliminated,0.795
46,4.0,1,0_healthy,healthy,0.781
46,4.0,2,1_injured,injured,0.715
46,4.0,3,1_injured,injured,0.512
46,4.0,4,0_healthy,healthy,0.461
46,6.0,0,5_eliminated,eliminated,0.701
46,6.0,1,5_eliminated,eliminated,0.359
46,6.0,2,1_injured,injured,0.262
46,6.0,3,1_injured,injured,0.364
46,6.0,4,6_escaped,escaped,0.351
46,8.0,0,5_eliminated,eliminated,0.779
46,8.0,1,0_healthy,healthy,0.375
46,8.0,2,1_injured,injured,0.28
46,8.0,3,1_injured,injured,0.323
46,8.0,4,6_escaped,escaped,0.331
46,10.0,0,5_eliminated,eliminated,0.32
46,10.0,1,5_eliminated,eliminated,0.238
46,10.0,2,1_injured,injured,0.276
46,10.0,3,1_injured,injured,0.358
46,10.0,4,6_escaped,escaped,0.242
46,12.0,0,5_eliminated,eliminated,0.406
46,12.0,1,0_healthy,healthy,0.415
46,12.0,2,1_injured,injured,0.408
46,12.0,3,1_injured,injured,0.374
46,12.0,4,0_healthy,healthy,0.651
46,14.0,0,6_escaped,escaped,0.527
46,14.0,1,0_healthy,healthy,0.249
46,14.0,2,6_escaped,escaped,0.347
46,14.0,3,1_injured,injured,0.401
46,14.0,4,0_healthy,healthy,0.387
46,16.0,0,6_escaped,escaped,0.561
46,16.0,1,5_eliminated,eliminated,0.456
46,16.0,2,1_injured,injured,0.269
46,16.0,3,1_injured,injured,0.395
46,16.0,4,0_healthy,healthy,0.397
46,18.0,0,6_escaped,escaped,0.532
46,18.0,1,5_eliminated,eliminated,0.736
46,18.0,2,6_escaped,escaped,0.315
46,18.0,3,1_injured,injured,0.342
46,18.0,4,0_healthy,healthy,0.371
46,20.0,0,5_eliminated,eliminated,0.42
46,20.0,1,5_eliminated,eliminated,0.276
46,20.0,2,6_escaped,escaped,0.28
46,20.0,3,1_injured,injured,0.43
46,20.0,4,0_healthy,healthy,0.286
46,22.0,0,5_eliminated,eliminated,0.532
46,22.0,1,5_eliminated,eliminated,0.374
46,22.0,2,6_escaped,escaped,0.274
46,22.0,3,1_injured,injured,0.362
46,22.0,4,0_healthy,healthy,0.298
46,24.0,0,5_eliminated,eliminated,0.63
46,24.0,1,5_eliminated,eliminated,0.566
46,24.0,2,6_escaped,escaped,0.298
46,24.0,3,1_injured,injured,0.357
46,24.0,4,0_healthy,healthy,0.329
46,26.0,0,5_eliminated,eliminated,0.333
46,26.0,1,5_eliminated,eliminated,0.431
46,26.0,2,6_escaped,escaped,0.298
46,26.0,3,1_injured,injured,0.359
46,26.0,4,0_healthy,healthy,0.298
46,28.0,0,6_escaped,escaped,0.917
46,28.0,1,5_eliminated,eliminated,0.358
46,28.0,2,6_escaped,escaped,0.296
46,28.0,3,1_injured,injured,0.356
46,28.0,4,0_healthy,healthy,0.422
46,30.0,0,6_escaped,escaped,0.427
46,30.0,1,5_eliminated,eliminated,0.341
46,30.0,2,1_injured,injured,0.273
46,30.0,3,1_injured,injured,0.309
46,30.0,4,0_healthy,healthy,0.359
46,32.0,0,6_escaped,escaped,0.546
46,32.0,1,5_eliminated,eliminated,0.295
46,32.0,2,1_injured,injured,0.26
46,32.0,3,1_injured,injured,0.365
46,32.0,4,0_healthy,healthy,0.417
46,34.0,0,6_escaped,escaped,0.424
46,34.0,1,5_eliminated,eliminated,0.269
46,34.0,2,1_injured,injured,0.322
46,34.0,3,1_injured,injured,0.394
46,34.0,4,0_healthy,healthy,0.442
46,36.0,0,6_escaped,escaped,0.432
46,36.0,1,5_eliminated,eliminated,0.304
46,36.0,2,1_injured,injured,0.347
46,36.0,3,1_injured,injured,0.424
46,36.0,4,0_healthy,healthy,0.439
46,38.0,0,6_escaped,escaped,0.506
46,38.0,1,5_eliminated,eliminated,0.261
46,38.0,2,1_injured,injured,0.316
46,38.0,3,1_injured,injured,0.386
46,38.0,4,0_healthy,healthy,0.398
46,40.0,0,6_escaped,escaped,0.466
46,40.0,1,5_eliminated,eliminated,0.301
46,40.0,2,1_injured,injured,0.291
46,40.0,3,1_injured,injured,0.374
46,40.0,4,0_healthy,healthy,0.427
46,42.0,0,6_escaped,escaped,0.503
46,42.0,1,5_eliminated,eliminated,0.278
46,42.0,2,1_injured,injured,0.374
46,42.0,3,1_injured,injured,0.305
46,42.0,4,0_healthy,healthy,0.418
46,44.0,0,6_escaped,escaped,0.464
46,44.0,1,5_eliminated,eliminated,0.234
46,44.0,2,1_injured,injured,0.281
46,44.0,3,1_injured,injured,0.322
46,44.0,4,0_healthy,healthy,0.39
46,46.0,0,6_escaped,escaped,0.399
46,46.0,1,5_eliminated,eliminated,0.297
46,46.0,2,1_injured,injured,0.319
46,46.0,3,1_injured,injured,0.361
46,46.0,4,0_healthy,healthy,0.393
46,48.0,0,6_escaped,escaped,0.463
46,48.0,1,5_eliminated,eliminated,0.29
