clip_id,timestamp,player_panel,raw_status,status,confidence
6,0.0,0,0_healthy,healthy,0.448
6,0.0,1,1_injured,injured,0.622
6,0.0,2,1_injured,injured,0.507
6,0.0,3,0_healthy,healthy,0.41
6,0.0,4,0_healthy,healthy,0.528
6,2.0,0,0_healthy,healthy,0.582
6,2.0,1,1_injured,injured,0.588
6,2.0,2,1_injured,injured,0.529
6,2.0,3,0_healthy,healthy,0.405
6,2.0,4,0_healthy,healthy,0.598
6,4.0,0,0_healthy,healthy,0.382
6,4.0,1,1_injured,injured,0.559
6,4.0,2,1_injured,injured,0.432
6,4.0,3,0_healthy,healthy,0.415
6,4.0,4,0_healthy,healthy,0.567
6,6.0,0,0_healthy,healthy,0.554
6,6.0,1,1_injured,injured,0.471
6,6.0,2,1_injured,injured,0.431
6,6.0,3,0_healthy,healthy,0.401
6,6.0,4,0_healthy,healthy,0.58
6,8.0,0,5_eliminated,eliminated,0.41
6,8.0,1,1_injured,injured,0.427
6,8.0,2,1_injured,injured,0.324
6,8.0,3,0_healthy,healthy,0.39
6,8.0,4,0_healthy,healthy,0.588
6,10.0,0,0_healthy,healthy,0.549
6,10.0,1,1_injured,injured,0.585
6,10.0,2,1_injured,injured,0.398
6,10.0,3,4_chaired,chaired,0.369
6,10.0,4,0_healthy,healthy,0.484
6,12.0,0,0_healthy,healthy,0.262
6,12.0,1,1_injured,injured,0.525
6,12.0,2,1_injured,injured,0.41
6,12.0,3,4_chaired,chaired,0.345
6,12.0,4,0_healthy,healthy,0.514
6,14.0,0,0_healthy,healthy,0.46
6,14.0,1,1_injured,injured,0.506
6,14.0,2,1_injured,injured,0.419
6,14.0,3,4_chaired,chaired,0.335
6,14.0,4,0_healthy,healthy,0.561
6,16.0,0,0_healthy,healthy,0.559
6,16.0,1,1_injured,injured,0.429
6,16.0,2,1_injured,injured,0.382
6,16.0,3,4_chaired,chaired,0.399
6,16.0,4,0_healthy,healthy,0.499
6,18.0,0,0_healthy,healthy,0.425
6,18.0,1,1_injured,injured,0.563
6,18.0,2,1_injured,injured,0.406
6,18.0,3,4_chaired,chaired,0.437
6,18.0,4,0_healthy,healthy,0.476
6,20.0,0,0_healthy,healthy,0.607
