clip_id,timestamp,player_panel,raw_status,status,confidence
73,49.99,2,1_injured,injured,0.514
73,49.99,3,5_eliminated,eliminated,0.344
73,49.99,4,0_healthy,healthy,0.373
73,51.99,0,6_escaped,escaped,0.564
73,51.99,1,0_healthy,healthy,0.479
73,51.99,2,1_injured,injured,0.484
73,51.99,3,5_eliminated,eliminated,0.374
73,51.99,4,0_healthy,healthy,0.38
73,53.99,0,6_escaped,escaped,0.623
73,53.99,1,2_downed,downed,0.2
73,53.99,2,1_injured,injured,0.447
73,53.99,3,5_eliminated,eliminated,0.29
73,53.99,4,0_healthy,healthy,0.395
73,55.99,0,6_escaped,escaped,0.64
73,55.99,1,0_healthy,healthy,0.205
73,55.99,2,1_injured,injured,0.473
73,55.99,3,5_eliminated,eliminated,0.289
73,55.99,4,0_healthy,healthy,0.354
73,57.99,0,6_escaped,escaped,0.612
73,57.99,1,0_healthy,healthy,0.204
73,57.99,2,1_injured,injured,0.478
73,57.99,3,5_eliminated,eliminated,0.293
73,57.99,4,0_healthy,healthy,0.364
73,59.99,0,6_escaped,escaped,0.655
73,59.99,1,0_healthy,healthy,0.213
73,59.99,2,1_injured,injured,0.448
73,59.99,3,5_eliminated,eliminated,0.309
73,59.99,4,0_healthy,healthy,0.315
73,61.99,0,5_eliminated,eliminated,0.406
73,61.99,1,0_healthy,healthy,0.235
73,61.99,2,1_injured,injured,0.411
73,61.99,3,0_healthy,healthy,0.456
73,61.99,4,0_healthy,healthy,0.438
73,63.99,0,5_eliminated,eliminated,0.745
73,63.99,1,0_healthy,healthy,0.536
73,63.99,2,1_injured,injured,0.437
73,63.99,3,0_healthy,healthy,0.435
73,63.99,4,0_healthy,healthy,0.817
73,65.99,0,5_eliminated,eliminated,0.492
73,65.99,1,0_healthy,healthy,0.292
73,65.99,2,1_injured,injured,0.415
73,65.99,3,0_healthy,healthy,0.362
73,65.99,4,0_healthy,healthy,0.615
73,67.99,0,5_eliminated,eliminated,0.655
73,67.99,1,0_healthy,healthy,0.323
73,67.99,2,1_injured,injured,0.463
73,67.99,3,5_eliminated,eliminated,0.333
73,67.99,4,0_healthy,healthy,0.426
73,69.99,0,5_eliminated,eliminated,0.645
73,69.99,1,0_healthy,healthy,0.284
73,69.99,2,1_injured,injured,0.279
73,69.99,3,5_eliminated,eliminated,0.256
73,69.99,4,0_healthy,healthy,0.348
73,71.99,0,6_escaped,escaped,0.577
73,71.99,1,2_downed,downed,0.203
73,71.99,2,1_injured,injured,0.418
73,71.99,3,5_eliminated,eliminated,0.292
73,71.99,4,0_healthy,healthy,0.38
73,73.99,0,6_escaped,escaped,0.564
73,73.99,1,2_downed,downed,0.206
73,73.99,2,1_injured,injured,0.455
73,73.99,3,5_eliminated,eliminated,0.267
73,73.99,4,0_healthy,healthy,0.407
73,75.99,0,6_escaped,escaped,0.534
73,75.99,1,2_downed,downed,0.202
73,75.99,2,1_injured,injured,0.527
73,75.99,3,5_eliminated,eliminated,0.249
73,75.99,4,0_healthy,healthy,0.449
73,77.99,0,6_escaped,escaped,0.593
73,77.99,1,2_downed,downed,0.201
73,77.99,2,1_injured,injured,0.38
73,77.99,3,5_eliminated,eliminated,0.378
73,77.99,4,0_healthy,healthy,0.609
73,79.99,0,6_escaped,escaped,0.587
73,79.99,1,0_healthy,healthy,0.199
73,79.99,2,1_injured,injured,0.408
73,79.99,3,5_eliminated,eliminated,0.322
73,79.99,4,0_healthy,healthy,0.308
73,81.99,0,6_escaped,escaped,0.574
73,81.99,1,0_healthy,healthy,0.201
73,81.99,2,1_injured,injured,0.389
73,81.99,3,5_eliminated,eliminated,0.251
73,81.99,4,0_healthy,healthy,0.305
73,83.99,0,6_escaped,escaped,0.366
73,83.99,1,0_healthy,healthy,0.235
73,83.99,2,1_injured,injured,0.426
