clip_id,timestamp,player_panel,heart_rate,confidence,valid
80,0.0,0,98,0.0,1
80,0.0,1,,0.0,0
80,0.0,2,72,0.0,1
80,0.0,3,51,0.0,1
80,0.0,4,153,0.0,1
80,2.0,0,98,0.0,1
80,2.0,1,,0.0,0
80,2.0,2,72,0.0,1
80,2.0,3,51,0.0,1
80,2.0,4,153,0.0,1
80,4.0,0,98,0.0,1
80,4.0,1,,0.0,0
80,4.0,2,72,0.0,1
80,4.0,3,51,0.0,1
80,4.0,4,153,0.0,1
80,6.0,0,98,0.0,1
80,6.0,1,,0.0,0
80,6.0,2,72,0.088,1
80,6.0,3,51,0.879,1
80,6.0,4,153,0.0,1
80,8.0,0,98,0.0,1
80,8.0,1,,0.0,0
80,8.0,2,72,0.0,1
80,8.0,3,51,0.0,1
80,8.0,4,153,0.0,1
80,10.0,0,98,0.0,1
80,10.0,1,,0.0,0
80,10.0,2,72,0.0,1
80,10.0,3,51,0.0,1
80,10.0,4,153,0.0,1
80,12.0,0,98,0.0,1
80,12.0,1,,0.0,0
80,12.0,2,72,0.0,1
80,12.0,3,51,0.0,1
80,12.0,4,153,0.0,1
80,14.0,0,98,0.0,1
80,14.0,1,,0.0,0
80,14.0,2,72,0.0,1
80,14.0,3,51,0.0,1
80,14.0,4,153,0.0,1
80,16.0,0,98,0.0,1
80,16.0,1,,0.0,0
80,16.0,2,72,0.0,1
80,16.0,3,51,0.0,1
80,16.0,4,153,0.0,1
80,18.0,0,98,0.0,1
80,18.0,1,,0.0,0
80,18.0,2,72,0.0,1
80,18.0,3,51,0.0,1
80,18.0,4,153,0.0,1
80,20.0,0,98,0.0,1
80,20.0,1,,0.0,0
80,20.0,2,72,0.0,1
80,20.0,3,51,0.0,1
80,20.0,4,153,0.0,1
80,22.0,0,98,0.0,1
80,22.0,1,,0.0,0
80,22.0,2,72,0.0,1
80,22.0,3,51,0.0,1
80,22.0,4,153,0.0,1
80,24.0,0,98,0.0,1
80,24.0,1,,0.0,0
80,24.0,2,72,0.0,1
80,24.0,3,51,0.0,1
80,24.0,4,153,0.0,1
80,26.0,0,98,0.0,1
80,26.0,1,,0.0,0
80,26.0,2,72,0.0,1
80,26.0,3,51,0.0,1
80,26.0,4,153,0.0,1
80,28.0,0,98,0.0,1
80,28.0,1,,0.0,0
80,28.0,2,72,0.0,1
80,28.0,3,51,0.0,1
80,28.0,4,153,0.0,1
80,30.0,0,98,0.0,1
80,30.0,1,,0.0,0
80,30.0,2,72,0.0,1
80,30.0,3,51,0.0,1
80,30.0,4,153,0.0,1
80,32.0,0,98,0.0,1
80,32.0,1,,0.0,0
80,32.0,2,72,0.0,1
80,32.0,3,51,0.0,1
80,32.0,4,153,0.0,1
80,34.0,0,98,1.0,1
80,34.0,1,,0.0,0
80,34.0,2,72,0.0,1
80,34.0,3,51,0.0,1
80,34.0,4,153,0.0,1
80,36.0,0,98,1.0,1
80,36.0,1,,0.0,0
80,36.0,2,72,0.0,1
80,36.0,3,51,0.0,1
80,36.0,4,153,0.407,1
80,38.0,0,98,1.0,1
80,38.0,1,,0.0,0
80,38.0,2,72,0.0,1
80,38.0,3,51,0.0,1
80,38.0,4,153,0.331,1
80,40.0,0,98,1.0,1
80,40.0,1,,0.0,0
80,40.0,2,72,0.0,1
80,40.0,3,51,0.0,1
80,40.0,4,154,0.809,1
80,42.0,0,98,1.0,1
80,42.0,1,,0.0,0
80,42.0,2,72,0.0,1
80,42.0,3,51,0.0,1
80,42.0,4,154,0.513,1
80,44.0,0,99,0.933,1
80,44.0,1,,0.0,0
80,44.0,2,72,0.0,1
80,44.0,3,51,0.0,1
80,44.0,4,154,0.558,1
80,46.0,0,99,1.0,1
80,46.0,1,,0.0,0
80,46.0,2,72,0.0,1
80,46.0,3,51,0.0,1
80,46.0,4,154,0.854,1
80,48.0,0,99,1.0,1
80,48.0,1,,0.0,0
80,48.0,2,72,0.0,1
80,48.0,3,51,0.0,1
80,48.0,4,153,0.446,1
80,50.0,0,99,0.0,1
80,50.0,1,,0.0,0
80,50.0,2,72,0.0,1
80,50.0,3,51,0.0,1
80,50.0,4,153,0.0,1
80,52.0,0,102,0.935,1
80,52.0,1,,0.0,0
80,52.0,2,72,0.0,1
80,52.0,3,51,0.0,1
80,52.0,4,153,0.603,1
80,54.0,0,102,0.0,1
80,54.0,1,,0.0,0
80,54.0,2,72,0.0,1
80,54.0,3,51,0.0,1
80,54.0,4,163,0.364,1
80,56.0,0,102,0.721,1
80,56.0,1,,0.0,0
80,56.0,2,72,0.0,1
80,56.0,3,51,0.0,1
80,56.0,4,163,0.0,1
80,58.0,0,102,0.0,1
80,58.0,1,,0.0,0
80,58.0,2,72,0.0,1
80,58.0,3,51,0.0,1
80,58.0,4,163,0.0,1
80,60.0,0,102,0.0,1
80,60.0,1,,0.0,0
80,60.0,2,72,0.0,1
80,60.0,3,51,0.0,1
80,60.0,4,163,0.0,1
80,62.0,0,104,0.778,1
80,62.0,1,,0.0,0
80,62.0,2,72,0.0,1
80,62.0,3,51,0.0,1
80,62.0,4,163,0.0,1
80,64.0,0,105,0.946,1
80,64.0,1,,0.0,0
80,64.0,2,72,0.0,1
80,64.0,3,51,0.0,1
80,64.0,4,147,0.838,1
80,66.0,0,105,0.999,1
80,66.0,1,,0.0,0
80,66.0,2,72,0.0,1
80,66.0,3,51,0.0,1
80,66.0,4,147,0.847,1
80,68.0,0,105,0.0,1
80,68.0,1,,0.0,0
80,68.0,2,72,0.0,1
80,68.0,3,51,0.0,1
80,68.0,4,147,0.0,1
80,70.0,0,103,0.658,1
80,70.0,1,,0.0,0
80,70.0,2,72,0.0,1
80,70.0,3,51,0.0,1
80,70.0,4,147,0.0,1
80,72.0,0,103,0.0,1
80,72.0,1,,0.0,0
80,72.0,2,72,0.0,1
80,72.0,3,51,0.0,1
80,72.0,4,147,0.426,1
80,74.0,0,102,0.997,1
80,74.0,1,,0.0,0
80,74.0,2,72,0.0,1
80,74.0,3,51,0.0,1
80,74.0,4,147,0.0,1
80,76.0,0,102,0.936,1
80,76.0,1,,0.0,0
80,76.0,2,72,0.0,1
80,76.0,3,51,0.0,1
80,76.0,4,147,0.761,1
80,78.0,0,99,1.0,1
80,78.0,1,,0.0,0
80,78.0,2,72,0.0,1
80,78.0,3,51,0.0,1
80,78.0,4,147,0.0,1
