clip_id,timestamp,player_panel,heart_rate,confidence,valid
74,0.0,0,100,0.0,1
74,0.0,1,,0.0,0
74,0.0,2,,0.0,0
74,0.0,3,,0.0,0
74,0.0,4,109,0.0,1
74,2.0,0,100,0.0,1
74,2.0,1,,0.0,0
74,2.0,2,,0.0,0
74,2.0,3,,0.0,0
74,2.0,4,109,0.169,1
74,4.0,0,100,0.0,1
74,4.0,1,,0.0,0
74,4.0,2,,0.0,0
74,4.0,3,,0.0,0
74,4.0,4,109,0.0,1
74,6.0,0,100,0.0,1
74,6.0,1,,0.0,0
74,6.0,2,,0.0,0
74,6.0,3,,0.0,0
74,6.0,4,109,0.0,1
74,8.0,0,100,0.0,1
74,8.0,1,,0.0,0
74,8.0,2,,0.0,0
74,8.0,3,,0.0,0
74,8.0,4,89,0.1,1
74,10.0,0,100,0.0,1
74,10.0,1,,0.0,0
74,10.0,2,,0.0,0
74,10.0,3,,0.0,0
74,10.0,4,89,0.0,1
74,12.0,0,100,0.0,1
74,12.0,1,,0.0,0
74,12.0,2,,0.0,0
74,12.0,3,,0.0,0
74,12.0,4,89,0.0,1
74,14.0,0,100,0.0,1
74,14.0,1,,0.0,0
74,14.0,2,,0.0,0
74,14.0,3,,0.0,0
74,14.0,4,89,0.0,1
74,16.0,0,100,0.0,1
74,16.0,1,,0.0,0
74,16.0,2,,0.0,0
74,16.0,3,,0.0,0
74,16.0,4,89,0.0,1
74,18.0,0,100,0.0,1
74,18.0,1,,0.0,0
74,18.0,2,,0.0,0
74,18.0,3,,0.0,0
74,18.0,4,89,0.0,1
74,20.0,0,100,0.0,1
74,20.0,1,,0.0,0
74,20.0,2,,0.0,0
74,20.0,3,,0.0,0
74,20.0,4,89,0.0,1
74,22.0,0,100,0.0,1
74,22.0,1,,0.0,0
74,22.0,2,,0.0,0
74,22.0,3,,0.0,0
74,22.0,4,89,0.092,1
74,24.0,0,100,0.987,1
74,24.0,1,,0.0,0
74,24.0,2,,0.0,0
74,24.0,3,,0.0,0
74,24.0,4,89,0.856,1
74,26.0,0,100,0.792,1
74,26.0,1,,0.0,0
74,26.0,2,,0.0,0
74,26.0,3,,0.0,0
74,26.0,4,89,0.51,1
74,28.0,0,100,0.986,1
74,28.0,1,,0.0,0
74,28.0,2,,0.0,0
74,28.0,3,,0.0,0
74,28.0,4,89,0.049,1
74,30.0,0,100,0.0,1
74,30.0,1,,0.0,0
74,30.0,2,,0.0,0
74,30.0,3,,0.0,0
74,30.0,4,89,0.0,1
74,32.0,0,100,0.834,1
74,32.0,1,,0.0,0
74,32.0,2,,0.0,0
74,32.0,3,,0.0,0
74,32.0,4,89,0.0,1
74,34.0,0,100,0.0,1
74,34.0,1,,0.0,0
74,34.0,2,,0.0,0
74,34.0,3,,0.0,0
74,34.0,4,89,0.0,1
74,36.0,0,100,0.989,1
74,36.0,1,,0.0,0
74,36.0,2,,0.0,0
74,36.0,3,,0.0,0
74,36.0,4,104,0.992,1
74,38.0,0,100,0.0,1
74,38.0,1,,0.0,0
74,38.0,2,,0.0,0
74,38.0,3,,0.0,0
74,38.0,4,104,0.834,1
74,40.0,0,100,0.991,1
74,40.0,1,,0.0,0
74,40.0,2,,0.0,0
74,40.0,3,,0.0,0
74,40.0,4,104,0.836,1
74,42.0,0,100,0.0,1
74,42.0,1,,0.0,0
74,42.0,2,,0.0,0
74,42.0,3,,0.0,0
74,42.0,4,104,0.0,1
74,44.0,0,100,0.0,1
74,44.0,1,,0.0,0
74,44.0,2,,0.0,0
74,44.0,3,,0.0,0
74,44.0,4,104,0.0,1
74,46.0,0,100,0.971,1
74,46.0,1,,0.0,0
74,46.0,2,,0.0,0
74,46.0,3,,0.0,0
74,46.0,4,104,0.766,1
74,48.0,0,100,0.993,1
74,48.0,1,,0.0,0
74,48.0,2,,0.0,0
74,48.0,3,,0.0,0
74,48.0,4,104,0.0,1
74,50.0,0,100,0.0,1
74,50.0,1,,0.0,0
74,50.0,2,,0.0,0
74,50.0,3,,0.0,0
74,50.0,4,105,0.045,1
74,52.0,0,100,0.968,1
74,52.0,1,,0.0,0
74,52.0,2,,0.0,0
74,52.0,3,,0.0,0
74,52.0,4,105,0.0,1
74,54.0,0,100,0.899,1
74,54.0,1,,0.0,0
74,54.0,2,,0.0,0
74,54.0,3,,0.0,0
74,54.0,4,105,0.779,1
74,56.0,0,100,0.989,1
74,56.0,1,,0.0,0
74,56.0,2,,0.0,0
74,56.0,3,,0.0,0
74,56.0,4,105,0.0,1
74,58.0,0,100,0.649,1
74,58.0,1,,0.0,0
74,58.0,2,,0.0,0
74,58.0,3,,0.0,0
74,58.0,4,105,0.0,1
74,59.99,0,100,0.0,1
74,59.99,1,,0.0,0
74,59.99,2,,0.0,0
74,59.99,3,,0.0,0
74,59.99,4,100,0.758,1
74,61.99,0,100,0.99,1
74,61.99,1,,0.0,0
74,61.99,2,,0.0,0
74,61.99,3,,0.0,0
74,61.99,4,89,0.037,1
74,63.99,0,100,0.986,1
74,63.99,1,,0.0,0
74,63.99,2,,0.0,0
74,63.99,3,,0.0,0
74,63.99,4,89,0.049,1
74,65.99,0,100,0.985,1
74,65.99,1,,0.0,0
74,65.99,2,,0.0,0
74,65.99,3,,0.0,0
74,65.99,4,89,0.0,1
74,67.99,0,100,0.986,1
74,67.99,1,,0.0,0
74,67.99,2,,0.0,0
74,67.99,3,,0.0,0
74,67.99,4,104,0.9,1
74,69.99,0,100,0.79,1
74,69.99,1,,0.0,0
74,69.99,2,,0.0,0
74,69.99,3,,0.0,0
74,69.99,4,104,0.0,1
74,71.99,0,100,0.995,1
74,71.99,1,,0.0,0
74,71.99,2,,0.0,0
74,71.99,3,,0.0,0
74,71.99,4,105,0.973,1
74,73.99,0,100,0.807,1
74,73.99,1,,0.0,0
74,73.99,2,,0.0,0
74,73.99,3,,0.0,0
74,73.99,4,105,0.883,1
74,75.99,0,100,0.722,1
74,75.99,1,,0.0,0
74,75.99,2,,0.0,0
74,75.99,3,,0.0,0
74,75.99,4,105,0.648,1
74,77.99,0,100,0.0,1
74,77.99,1,,0.0,0
74,77.99,2,,0.0,0
74,77.99,3,,0.0,0
74,77.99,4,105,0.459,1
74,79.99,0,100,0.0,1
74,79.99,1,,0.0,0
74,79.99,2,,0.0,0
74,79.99,3,,0.0,0
74,79.99,4,105,0.0,1
74,81.99,0,100,0.98,1
74,81.99,1,,0.0,0
74,81.99,2,,0.0,0
74,81.99,3,,0.0,0
74,81.99,4,105,0.0,1
74,83.99,0,100,0.0,1
74,83.99,1,,0.0,0
74,83.99,2,,0.0,0
74,83.99,3,,0.0,0
74,83.99,4,105,0.0,1
74,85.99,0,100,0.0,1
74,85.99,1,,0.0,0
74,85.99,2,,0.0,0
74,85.99,3,,0.0,0
74,85.99,4,105,0.0,1
74,87.99,0,100,0.0,1
74,87.99,1,,0.0,0
74,87.99,2,,0.0,0
74,87.99,3,,0.0,0
74,87.99,4,105,0.745,1
74,89.99,0,100,0.975,1
74,89.99,1,,0.0,0
74,89.99,2,,0.0,0
74,89.99,3,,0.0,0
74,89.99,4,105,0.694,1
74,91.99,0,100,0.908,1
74,91.99,1,,0.0,0
74,91.99,2,,0.0,0
74,91.99,3,,0.0,0
74,91.99,4,105,0.0,1
74,93.99,0,100,0.986,1
74,93.99,1,,0.0,0
74,93.99,2,,0.0,0
74,93.99,3,,0.0,0
74,93.99,4,105,0.0,1
74,95.99,0,100,0.6,1
74,95.99,1,,0.0,0
74,95.99,2,,0.0,0
74,95.99,3,,0.0,0
74,95.99,4,105,0.0,1
74,97.99,0,100,0.974,1
74,97.99,1,,0.0,0
74,97.99,2,,0.0,0
74,97.99,3,,0.0,0
74,97.99,4,103,0.077,1
74,99.99,0,100,0.982,1
74,99.99,1,,0.0,0
74,99.99,2,,0.0,0
74,99.99,3,,0.0,0
74,99.99,4,103,0.645,1
74,101.99,0,100,0.969,1
74,101.99,1,,0.0,0
74,101.99,2,,0.0,0
74,101.99,3,,0.0,0
74,101.99,4,103,0.783,1
74,103.99,0,100,0.934,1
74,103.99,1,,0.0,0
74,103.99,2,,0.0,0
74,103.99,3,,0.0,0
74,103.99,4,103,0.0,1
74,105.99,0,100,0.0,1
74,105.99,1,,0.0,0
74,105.99,2,,0.0,0
74,105.99,3,,0.0,0
74,105.99,4,103,0.0,1
74,107.99,0,100,0.989,1
74,107.99,1,,0.0,0
74,107.99,2,,0.0,0
74,107.99,3,,0.0,0
74,107.99,4,103,0.408,1
74,109.99,0,100,0.659,1
74,109.99,1,,0.0,0
74,109.99,2,,0.0,0
74,109.99,3,,0.0,0
74,109.99,4,103,0.0,1
74,111.99,0,100,0.974,1
74,111.99,1,,0.0,0
74,111.99,2,,0.0,0
74,111.99,3,,0.0,0
74,111.99,4,103,0.0,1
74,113.99,0,100,0.0,1
74,113.99,1,,0.0,0
74,113.99,2,,0.0,0
74,113.99,3,,0.0,0
74,113.99,4,103,0.0,1
74,115.99,0,100,0.731,1
74,115.99,1,,0.0,0
74,115.99,2,,0.0,0
74,115.99,3,,0.0,0
74,115.99,4,103,0.0,1
74,117.99,0,100,0.857,1
74,117.99,1,,0.0,0
74,117.99,2,,0.0,0
74,117.99,3,,0.0,0
74,117.99,4,103,0.027,1
74,119.99,0,100,0.981,1
74,119.99,1,,0.0,0
74,119.99,2,,0.0,0
74,119.99,3,,0.0,0
74,119.99,4,89,0.0,1
74,121.99,0,100,0.0,1
74,121.99,1,,0.0,0
74,121.99,2,,0.0,0
74,121.99,3,,0.0,0
74,121.99,4,89,0.438,1
74,123.99,0,100,0.0,1
74,123.99,1,,0.0,0
74,123.99,2,,0.0,0
74,123.99,3,,0.0,0
74,123.99,4,103,0.053,1
74,125.99,0,100,0.0,1
74,125.99,1,,0.0,0
74,125.99,2,,0.0,0
74,125.99,3,,0.0,0
74,125.99,4,104,0.715,1
74,127.99,0,100,0.0,1
74,127.99,1,,0.0,0
74,127.99,2,,0.0,0
74,127.99,3,,0.0,0
74,127.99,4,104,0.0,1
74,129.99,0,100,0.0,1
74,129.99,1,,0.0,0
74,129.99,2,,0.0,0
74,129.99,3,,0.0,0
74,129.99,4,104,0.0,1
74,131.99,0,100,0.0,1
74,131.99,1,,0.0,0
74,131.99,2,,0.0,0
74,131.99,3,,0.0,0
74,131.99,4,104,0.0,1
74,133.99,0,100,0.0,1
74,133.99,1,,0.0,0
74,133.99,2,,0.0,0
74,133.99,3,,0.0,0
74,133.99,4,104,0.0,1
74,135.99,0,100,0.0,1
74,135.99,1,,0.0,0
74,135.99,2,,0.0,0
74,135.99,3,,0.0,0
74,135.99,4,104,0.71,1
74,137.99,0,100,0.983,1
74,137.99,1,,0.0,0
74,137.99,2,,0.0,0
74,137.99,3,,0.0,0
74,137.99,4,104,0.0,1
74,139.99,0,100,0.0,1
74,139.99,1,,0.0,0
74,139.99,2,,0.0,0
74,139.99,3,,0.0,0
74,139.99,4,104,0.0,1
74,141.99,0,100,0.0,1
74,141.99,1,,0.0,0
74,141.99,2,,0.0,0
74,141.99,3,,0.0,0
74,141.99,4,104,0.0,1
74,143.99,0,100,0.0,1
74,143.99,1,,0.0,0
74,143.99,2,,0.0,0
74,143.99,3,,0.0,0
74,143.99,4,104,0.0,1
74,145.99,0,100,0.0,1
74,145.99,1,,0.0,0
74,145.99,2,,0.0,0
74,145.99,3,,0.0,0
74,145.99,4,104,0.0,1
74,147.99,0,100,0.0,1
74,147.99,1,,0.0,0
74,147.99,2,,0.0,0
74,147.99,3,,0.0,0
74,147.99,4,110,0.398,1
74,149.99,0,100,0.0,1
74,149.99,1,,0.0,0
74,149.99,2,,0.0,0
74,149.99,3,,0.0,0
74,149.99,4,110,0.0,1
74,151.99,0,100,0.0,1
74,151.99,1,,0.0,0
74,151.99,2,,0.0,0
74,151.99,3,,0.0,0
74,151.99,4,115,0.507,1
74,153.99,0,100,0.967,1
74,153.99,1,,0.0,0
74,153.99,2,,0.0,0
74,153.99,3,,0.0,0
74,153.99,4,115,0.817,1
74,155.99,0,100,0.995,1
74,155.99,1,,0.0,0
74,155.99,2,,0.0,0
74,155.99,3,,0.0,0
74,155.99,4,115,0.871,1
74,157.99,0,100,0.97,1
74,157.99,1,,0.0,0
74,157.99,2,,0.0,0
74,157.99,3,,0.0,0
74,157.99,4,115,0.85,1
74,159.99,0,100,0.716,1
74,159.99,1,,0.0,0
74,159.99,2,,0.0,0
74,159.99,3,,0.0,0
74,159.99,4,115,0.613,1
74,161.99,0,100,0.0,1
74,161.99,1,,0.0,0
74,161.99,2,,0.0,0
74,161.99,3,,0.0,0
74,161.99,4,115,0.511,1
74,163.99,0,100,0.481,1
74,163.99,1,,0.0,0
74,163.99,2,,0.0,0
74,163.99,3,,0.0,0
74,163.99,4,115,0.34,1
74,165.99,0,100,0.0,1
74,165.99,1,,0.0,0
74,165.99,2,,0.0,0
74,165.99,3,,0.0,0
74,165.99,4,116,0.886,1
74,167.99,0,100,0.729,1
