clip_id,timestamp,player_panel,heart_rate,confidence,valid
52,0.0,0,104,0.0,1
52,0.0,1,,0.0,0
52,0.0,2,146,0.0,1
52,0.0,3,85,0.0,1
52,0.0,4,64,0.0,1
52,2.0,0,104,0.0,1
52,2.0,1,,0.0,0
52,2.0,2,146,0.0,1
52,2.0,3,85,0.0,1
52,2.0,4,64,0.0,1
52,4.0,0,104,0.0,1
52,4.0,1,,0.0,0
52,4.0,2,146,0.0,1
52,4.0,3,85,0.0,1
52,4.0,4,64,0.0,1
52,6.0,0,104,0.0,1
52,6.0,1,,0.0,0
52,6.0,2,146,0.0,1
52,6.0,3,85,0.0,1
52,6.0,4,64,0.026,1
52,8.0,0,104,0.0,1
52,8.0,1,,0.0,0
52,8.0,2,146,0.0,1
52,8.0,3,85,0.0,1
52,8.0,4,64,0.0,1
52,10.0,0,104,0.0,1
52,10.0,1,,0.0,0
52,10.0,2,146,0.0,1
52,10.0,3,85,0.0,1
52,10.0,4,64,0.0,1
52,12.0,0,104,0.0,1
52,12.0,1,,0.0,0
52,12.0,2,146,0.0,1
52,12.0,3,85,0.0,1
52,12.0,4,64,0.0,1
52,14.0,0,104,0.0,1
52,14.0,1,,0.0,0
52,14.0,2,146,0.0,1
52,14.0,3,85,0.0,1
52,14.0,4,64,0.088,1
52,16.0,0,104,0.0,1
52,16.0,1,,0.0,0
52,16.0,2,146,0.0,1
52,16.0,3,85,0.0,1
52,16.0,4,64,0.0,1
52,18.0,0,104,0.0,1
52,18.0,1,,0.0,0
52,18.0,2,146,0.0,1
52,18.0,3,85,0.0,1
52,18.0,4,64,0.0,1
52,20.0,0,104,0.0,1
52,20.0,1,,0.0,0
52,20.0,2,146,0.0,1
52,20.0,3,85,0.0,1
52,20.0,4,64,0.0,1
52,22.0,0,104,0.0,1
52,22.0,1,,0.0,0
52,22.0,2,146,0.0,1
52,22.0,3,85,0.0,1
52,22.0,4,64,0.0,1
52,24.0,0,104,0.0,1
52,24.0,1,,0.0,0
52,24.0,2,146,0.0,1
52,24.0,3,85,0.0,1
52,24.0,4,64,0.0,1
52,26.0,0,104,0.0,1
52,26.0,1,,0.0,0
52,26.0,2,146,0.0,1
52,26.0,3,85,0.0,1
52,26.0,4,64,0.0,1
52,28.0,0,104,0.0,1
52,28.0,1,,0.0,0
52,28.0,2,146,0.0,1
52,28.0,3,85,0.0,1
52,28.0,4,64,0.03,1
52,30.0,0,104,0.0,1
52,30.0,1,,0.0,0
52,30.0,2,146,0.0,1
52,30.0,3,85,0.0,1
52,30.0,4,64,0.0,1
52,32.0,0,104,0.0,1
