clip_id,timestamp,player_panel,heart_rate,confidence,valid
59,0.0,0,126,0.0,1
59,0.0,1,,0.0,0
59,0.0,2,115,0.0,1
59,0.0,3,,0.0,0
59,0.0,4,201,0.0,1
59,2.0,0,126,0.0,1
59,2.0,1,,0.0,0
59,2.0,2,115,0.0,1
59,2.0,3,,0.0,0
59,2.0,4,201,0.0,1
59,4.0,0,126,0.0,1
59,4.0,1,,0.0,0
59,4.0,2,115,0.0,1
59,4.0,3,,0.0,0
59,4.0,4,201,0.0,1
59,6.0,0,126,0.0,1
59,6.0,1,,0.0,0
59,6.0,2,115,0.0,1
59,6.0,3,,0.0,0
59,6.0,4,201,0.0,1
59,8.0,0,126,0.0,1
59,8.0,1,,0.0,0
59,8.0,2,115,0.0,1
59,8.0,3,,0.0,0
59,8.0,4,201,0.0,1
59,10.0,0,126,0.0,1
59,10.0,1,,0.0,0
59,10.0,2,115,0.0,1
59,10.0,3,,0.0,0
59,10.0,4,201,0.0,1
59,12.0,0,126,0.0,1
59,12.0,1,,0.0,0
59,12.0,2,115,0.0,1
59,12.0,3,,0.0,0
59,12.0,4,201,0.0,1
59,14.0,0,126,0.0,1
59,14.0,1,,0.0,0
59,14.0,2,115,0.0,1
59,14.0,3,,0.0,0
59,14.0,4,201,0.0,1
59,16.0,0,126,0.0,1
59,16.0,1,,0.0,0
59,16.0,2,115,0.0,1
59,16.0,3,,0.0,0
59,16.0,4,201,0.0,1
59,18.0,0,126,0.0,1
59,18.0,1,,0.0,0
59,18.0,2,115,0.0,1
59,18.0,3,,0.0,0
59,18.0,4,201,0.0,1
59,20.0,0,126,0.0,1
59,20.0,1,,0.0,0
59,20.0,2,115,0.0,1
59,20.0,3,,0.0,0
59,20.0,4,201,0.028,1
59,22.0,0,126,0.0,1
59,22.0,1,,0.0,0
59,22.0,2,115,0.0,1
59,22.0,3,,0.0,0
59,22.0,4,201,0.0,1
59,24.0,0,126,0.0,1
59,24.0,1,,0.0,0
59,24.0,2,115,0.0,1
59,24.0,3,,0.0,0
59,24.0,4,201,0.0,1
59,26.0,0,126,0.0,1
59,26.0,1,,0.0,0
59,26.0,2,115,0.0,1
59,26.0,3,,0.0,0
59,26.0,4,201,0.0,1
59,28.0,0,126,0.504,1
59,28.0,1,,0.0,0
59,28.0,2,115,0.0,1
59,28.0,3,,0.0,0
59,28.0,4,201,0.0,1
59,30.0,0,126,0.995,1
59,30.0,1,,0.0,0
59,30.0,2,115,0.0,1
59,30.0,3,,0.0,0
59,30.0,4,130,0.819,1
59,32.0,0,126,0.999,1
