clip_id,timestamp,player_panel,heart_rate,confidence,valid
9,0.0,0,117,0.0,1
9,0.0,1,140,0.0,1
9,0.0,2,101,0.0,1
9,0.0,3,104,0.0,1
9,0.0,4,157,0.0,1
9,2.0,0,117,0.999,1
9,2.0,1,140,0.569,1
9,2.0,2,101,0.0,1
9,2.0,3,104,0.0,1
9,2.0,4,157,0.999,1
9,4.0,0,117,0.979,1
9,4.0,1,140,0.0,1
9,4.0,2,101,0.0,1
9,4.0,3,104,0.48,1
9,4.0,4,158,1.0,1
9,6.0,0,117,0.0,1
9,6.0,1,140,0.0,1
9,6.0,2,101,0.0,1
9,6.0,3,104,0.0,1
9,6.0,4,158,0.0,1
9,8.0,0,117,0.277,1
9,8.0,1,140,0.0,1
9,8.0,2,101,0.0,1
9,8.0,3,104,0.226,1
9,8.0,4,159,0.776,1
9,10.0,0,117,0.0,1
9,10.0,1,197,0.724,1
9,10.0,2,101,0.0,1
9,10.0,3,104,0.62,1
9,10.0,4,159,0.983,1
9,12.0,0,117,1.0,1
9,12.0,1,197,0.0,1
9,12.0,2,101,0.0,1
9,12.0,3,100,0.0,1
9,12.0,4,159,0.611,1
9,14.0,0,117,0.997,1
9,14.0,1,197,0.392,1
9,14.0,2,101,0.0,1
9,14.0,3,100,0.528,1
9,14.0,4,159,0.994,1
9,16.0,0,117,1.0,1
9,16.0,1,197,0.0,1
9,16.0,2,101,0.0,1
9,16.0,3,100,0.467,1
9,16.0,4,160,0.7,1
9,18.0,0,117,0.0,1
9,18.0,1,197,0.0,1
9,18.0,2,101,0.0,1
9,18.0,3,100,0.0,1
9,18.0,4,161,0.999,1
9,20.0,0,117,0.666,1
9,20.0,1,197,0.0,1
9,20.0,2,101,0.0,1
9,20.0,3,100,0.0,1
9,20.0,4,166,0.992,1
9,22.0,0,117,1.0,1
9,22.0,1,190,0.152,1
9,22.0,2,101,0.0,1
9,22.0,3,100,0.0,1
9,22.0,4,170,0.985,1
9,24.0,0,117,0.699,1
9,24.0,1,190,0.0,1
9,24.0,2,101,0.0,1
9,24.0,3,100,0.0,1
9,24.0,4,173,0.999,1
9,26.0,0,117,0.999,1
9,26.0,1,190,0.0,1
9,26.0,2,101,0.0,1
9,26.0,3,100,0.0,1
9,26.0,4,174,0.502,1
9,28.0,0,117,1.0,1
9,28.0,1,140,0.477,1
9,28.0,2,101,0.0,1
9,28.0,3,100,0.0,1
9,28.0,4,174,0.999,1
9,30.0,0,117,1.0,1
9,30.0,1,140,0.82,1
9,30.0,2,101,0.0,1
9,30.0,3,100,0.0,1
9,30.0,4,174,0.997,1
9,32.0,0,117,0.999,1
9,32.0,1,140,0.285,1
9,32.0,2,101,0.0,1
9,32.0,3,104,0.346,1
9,32.0,4,174,0.961,1
9,34.0,0,117,0.997,1
9,34.0,1,140,0.593,1
9,34.0,2,101,0.0,1
9,34.0,3,104,0.0,1
9,34.0,4,175,0.618,1
9,36.0,0,117,0.994,1
9,36.0,1,140,0.223,1
9,36.0,2,101,0.0,1
9,36.0,3,104,0.131,1
9,36.0,4,175,0.996,1
9,38.0,0,117,0.999,1
9,38.0,1,140,0.0,1
9,38.0,2,101,0.0,1
9,38.0,3,104,0.0,1
9,38.0,4,175,0.992,1
9,39.99,0,117,0.927,1
9,39.99,1,140,0.0,1
9,39.99,2,101,0.0,1
9,39.99,3,104,0.0,1
9,39.99,4,175,0.942,1
9,41.99,0,117,0.999,1
9,41.99,1,140,0.0,1
9,41.99,2,101,0.0,1
9,41.99,3,104,0.0,1
9,41.99,4,175,0.0,1
9,43.99,0,117,1.0,1
9,43.99,1,190,0.635,1
9,43.99,2,101,0.0,1
9,43.99,3,104,0.0,1
9,43.99,4,175,0.998,1
9,45.99,0,117,1.0,1
9,45.99,1,197,0.461,1
9,45.99,2,101,0.0,1
9,45.99,3,104,0.0,1
9,45.99,4,175,0.991,1
9,47.99,0,117,0.0,1
9,47.99,1,197,0.0,1
9,47.99,2,101,0.0,1
9,47.99,3,104,0.466,1
9,47.99,4,175,1.0,1
9,49.99,0,117,0.999,1
9,49.99,1,197,0.0,1
9,49.99,2,101,0.0,1
9,49.99,3,104,0.0,1
9,49.99,4,175,0.988,1
9,51.99,0,117,1.0,1
9,51.99,1,197,0.578,1
9,51.99,2,101,0.516,1
9,51.99,3,104,0.0,1
9,51.99,4,176,1.0,1
9,53.99,0,117,1.0,1
9,53.99,1,197,0.0,1
9,53.99,2,109,0.885,1
9,53.99,3,104,0.156,1
9,53.99,4,176,1.0,1
9,55.99,0,117,0.586,1
9,55.99,1,197,0.572,1
9,55.99,2,109,0.49,1
9,55.99,3,104,0.671,1
9,55.99,4,176,0.996,1
9,57.99,0,117,0.996,1
9,57.99,1,197,0.0,1
9,57.99,2,109,0.735,1
9,57.99,3,104,0.378,1
9,57.99,4,176,0.97,1
9,59.99,0,117,0.999,1
9,59.99,1,197,0.355,1
9,59.99,2,100,0.878,1
9,59.99,3,104,0.442,1
9,59.99,4,176,0.96,1
9,61.99,0,117,0.988,1
9,61.99,1,197,0.0,1
9,61.99,2,100,0.192,1
9,61.99,3,104,0.347,1
9,61.99,4,176,0.89,1
9,63.99,0,117,0.999,1
9,63.99,1,197,0.0,1
9,63.99,2,100,0.909,1
9,63.99,3,104,0.0,1
9,63.99,4,175,0.559,1
9,65.99,0,117,1.0,1
9,65.99,1,197,0.0,1
9,65.99,2,100,0.0,1
9,65.99,3,104,0.0,1
9,65.99,4,175,0.999,1
9,67.99,0,117,0.971,1
9,67.99,1,197,0.0,1
9,67.99,2,100,0.0,1
9,67.99,3,104,0.0,1
9,67.99,4,174,1.0,1
9,69.99,0,117,1.0,1
9,69.99,1,197,0.0,1
9,69.99,2,100,0.0,1
9,69.99,3,104,0.425,1
9,69.99,4,173,0.999,1
9,71.99,0,117,0.937,1
9,71.99,1,197,0.0,1
9,71.99,2,100,0.0,1
9,71.99,3,104,0.0,1
9,71.99,4,173,0.0,1
9,73.99,0,117,0.983,1
9,73.99,1,197,0.0,1
9,73.99,2,100,0.0,1
9,73.99,3,104,0.0,1
9,73.99,4,173,0.993,1
9,75.99,0,117,1.0,1
9,75.99,1,197,0.0,1
9,75.99,2,101,0.757,1
9,75.99,3,104,0.0,1
9,75.99,4,172,1.0,1
9,77.99,0,117,0.855,1
9,77.99,1,197,0.0,1
9,77.99,2,101,0.0,1
9,77.99,3,104,0.0,1
9,77.99,4,172,1.0,1
9,79.99,0,117,0.999,1
9,79.99,1,197,0.0,1
9,79.99,2,104,0.868,1
9,79.99,3,104,0.0,1
9,79.99,4,172,0.815,1
9,81.99,0,117,0.996,1
9,81.99,1,197,0.0,1
9,81.99,2,105,0.462,1
9,81.99,3,104,0.0,1
9,81.99,4,172,0.708,1
9,83.99,0,117,1.0,1
9,83.99,1,197,0.0,1
9,83.99,2,107,0.974,1
9,83.99,3,104,0.0,1
9,83.99,4,172,0.668,1
9,85.99,0,117,0.0,1
9,85.99,1,194,0.409,1
9,85.99,2,107,0.75,1
9,85.99,3,104,0.0,1
9,85.99,4,171,1.0,1
9,87.99,0,117,0.901,1
9,87.99,1,194,0.0,1
9,87.99,2,107,0.861,1
9,87.99,3,94,0.318,1
9,87.99,4,171,0.936,1
9,89.99,0,117,0.0,1
9,89.99,1,194,0.0,1
9,89.99,2,107,0.0,1
9,89.99,3,94,0.0,1
9,89.99,4,171,0.998,1
9,91.99,0,117,0.761,1
9,91.99,1,194,0.0,1
9,91.99,2,107,0.579,1
9,91.99,3,94,0.0,1
9,91.99,4,171,0.961,1
9,93.99,0,117,0.948,1
9,93.99,1,194,0.0,1
9,93.99,2,107,0.919,1
9,93.99,3,94,0.0,1
9,93.99,4,170,1.0,1
9,95.99,0,117,0.996,1
9,95.99,1,194,0.0,1
9,95.99,2,105,0.919,1
9,95.99,3,94,0.0,1
9,95.99,4,170,0.999,1
9,97.99,0,117,0.995,1
9,97.99,1,194,0.081,1
9,97.99,2,105,0.0,1
9,97.99,3,94,0.0,1
9,97.99,4,170,0.999,1
9,99.99,0,117,0.998,1
9,99.99,1,195,0.225,1
9,99.99,2,105,0.0,1
9,99.99,3,104,0.088,1
9,99.99,4,170,0.985,1
9,101.99,0,117,1.0,1
9,101.99,1,195,0.0,1
9,101.99,2,105,0.0,1
9,101.99,3,104,0.0,1
9,101.99,4,170,0.997,1
9,103.99,0,117,0.999,1
9,103.99,1,195,0.0,1
9,103.99,2,102,0.805,1
9,103.99,3,104,0.0,1
9,103.99,4,170,1.0,1
9,105.99,0,117,1.0,1
9,105.99,1,195,0.297,1
9,105.99,2,102,0.0,1
9,105.99,3,104,0.0,1
9,105.99,4,170,0.979,1
9,107.99,0,117,0.996,1
9,107.99,1,195,0.0,1
9,107.99,2,102,0.41,1
9,107.99,3,104,0.0,1
9,107.99,4,168,1.0,1
9,109.99,0,117,1.0,1
9,109.99,1,194,0.319,1
9,109.99,2,102,0.54,1
9,109.99,3,104,0.0,1
9,109.99,4,167,1.0,1
9,111.99,0,117,0.999,1
9,111.99,1,194,0.0,1
9,111.99,2,102,0.303,1
9,111.99,3,104,0.827,1
9,111.99,4,165,1.0,1
9,113.99,0,117,1.0,1
9,113.99,1,194,0.0,1
9,113.99,2,100,0.749,1
9,113.99,3,104,0.371,1
9,113.99,4,165,0.999,1
9,115.99,0,117,0.999,1
9,115.99,1,194,0.0,1
9,115.99,2,100,0.0,1
9,115.99,3,104,0.0,1
9,115.99,4,165,1.0,1
9,117.99,0,117,0.999,1
9,117.99,1,194,0.0,1
9,117.99,2,100,0.0,1
9,117.99,3,104,0.33,1
9,117.99,4,165,1.0,1
9,119.98,0,117,0.991,1
9,119.98,1,194,0.0,1
9,119.98,2,101,0.92,1
9,119.98,3,104,0.52,1
9,119.98,4,165,1.0,1
