clip_id,timestamp,player_panel,heart_rate,confidence,valid
82,0.0,0,95,0.0,1
82,0.0,1,,0.0,0
82,0.0,2,90,0.0,1
82,0.0,3,140,0.0,1
82,0.0,4,101,0.0,1
82,2.0,0,95,0.0,1
82,2.0,1,,0.0,0
82,2.0,2,90,0.0,1
82,2.0,3,140,0.0,1
82,2.0,4,101,0.0,1
82,4.0,0,95,0.0,1
82,4.0,1,,0.0,0
82,4.0,2,90,0.0,1
82,4.0,3,140,0.0,1
82,4.0,4,101,0.0,1
82,6.0,0,95,0.0,1
82,6.0,1,,0.0,0
82,6.0,2,90,0.0,1
82,6.0,3,140,0.0,1
82,6.0,4,101,0.0,1
82,8.0,0,95,0.0,1
82,8.0,1,,0.0,0
82,8.0,2,90,0.0,1
82,8.0,3,140,0.0,1
82,8.0,4,101,0.0,1
82,10.0,0,95,0.0,1
82,10.0,1,,0.0,0
82,10.0,2,90,0.0,1
82,10.0,3,140,0.0,1
82,10.0,4,101,0.0,1
82,12.0,0,95,0.912,1
82,12.0,1,,0.0,0
82,12.0,2,90,0.0,1
82,12.0,3,140,0.0,1
82,12.0,4,101,0.03,1
82,14.0,0,95,0.999,1
82,14.0,1,,0.0,0
82,14.0,2,90,0.0,1
82,14.0,3,140,0.0,1
82,14.0,4,101,0.063,1
82,16.0,0,96,1.0,1
82,16.0,1,,0.0,0
82,16.0,2,90,0.265,1
82,16.0,3,140,0.0,1
82,16.0,4,131,0.032,1
82,18.0,0,97,1.0,1
82,18.0,1,,0.0,0
82,18.0,2,90,0.0,1
82,18.0,3,140,0.0,1
82,18.0,4,139,0.819,1
82,20.0,0,97,1.0,1
82,20.0,1,,0.0,0
82,20.0,2,90,0.0,1
82,20.0,3,140,0.0,1
82,20.0,4,139,0.25,1
82,22.0,0,98,1.0,1
82,22.0,1,,0.0,0
82,22.0,2,90,0.146,1
82,22.0,3,140,0.0,1
82,22.0,4,139,0.0,1
82,24.0,0,98,1.0,1
82,24.0,1,,0.0,0
82,24.0,2,82,0.189,1
82,24.0,3,140,0.0,1
82,24.0,4,139,0.0,1
82,26.0,0,98,1.0,1
82,26.0,1,,0.0,0
82,26.0,2,82,0.0,1
82,26.0,3,140,0.0,1
82,26.0,4,139,0.0,1
82,28.0,0,97,1.0,1
82,28.0,1,,0.0,0
82,28.0,2,82,0.0,1
82,28.0,3,140,0.0,1
82,28.0,4,139,0.622,1
82,30.0,0,97,0.999,1
82,30.0,1,,0.0,0
82,30.0,2,82,0.0,1
82,30.0,3,140,0.0,1
82,30.0,4,139,0.458,1
82,32.0,0,97,1.0,1
82,32.0,1,,0.0,0
82,32.0,2,82,0.0,1
82,32.0,3,140,0.0,1
82,32.0,4,137,0.038,1
82,34.0,0,97,1.0,1
82,34.0,1,,0.0,0
82,34.0,2,84,0.205,1
82,34.0,3,140,0.0,1
82,34.0,4,137,0.0,1
82,36.0,0,97,1.0,1
82,36.0,1,,0.0,0
82,36.0,2,84,0.0,1
82,36.0,3,140,0.0,1
82,36.0,4,137,0.835,1
82,38.0,0,97,1.0,1
82,38.0,1,,0.0,0
82,38.0,2,84,0.0,1
82,38.0,3,140,0.0,1
82,38.0,4,137,0.0,1
82,40.0,0,97,1.0,1
82,40.0,1,,0.0,0
82,40.0,2,84,0.222,1
82,40.0,3,140,0.0,1
82,40.0,4,137,0.0,1
82,42.0,0,97,1.0,1
82,42.0,1,,0.0,0
82,42.0,2,84,0.163,1
82,42.0,3,140,0.0,1
82,42.0,4,139,0.753,1
82,44.0,0,97,1.0,1
82,44.0,1,,0.0,0
82,44.0,2,80,0.479,1
82,44.0,3,140,0.0,1
82,44.0,4,140,0.018,1
82,46.0,0,97,1.0,1
82,46.0,1,,0.0,0
82,46.0,2,80,0.436,1
82,46.0,3,140,0.0,1
82,46.0,4,141,0.706,1
82,48.0,0,97,1.0,1
82,48.0,1,,0.0,0
82,48.0,2,80,0.0,1
82,48.0,3,140,0.0,1
82,48.0,4,141,0.554,1
82,49.99,0,97,1.0,1
82,49.99,1,,0.0,0
82,49.99,2,80,0.458,1
82,49.99,3,140,0.0,1
82,49.99,4,141,0.0,1
82,51.99,0,97,1.0,1
82,51.99,1,,0.0,0
82,51.99,2,80,0.0,1
82,51.99,3,140,0.0,1
82,51.99,4,143,0.923,1
82,53.99,0,97,1.0,1
82,53.99,1,,0.0,0
82,53.99,2,80,0.0,1
82,53.99,3,140,0.0,1
82,53.99,4,144,0.87,1
82,55.99,0,97,0.997,1
82,55.99,1,,0.0,0
82,55.99,2,80,0.0,1
82,55.99,3,140,0.0,1
82,55.99,4,144,0.896,1
82,57.99,0,98,1.0,1
82,57.99,1,,0.0,0
82,57.99,2,80,0.0,1
82,57.99,3,140,0.0,1
82,57.99,4,149,0.431,1
82,59.99,0,98,0.49,1
82,59.99,1,,0.0,0
82,59.99,2,80,0.0,1
82,59.99,3,140,0.0,1
82,59.99,4,149,0.885,1
82,61.99,0,98,0.974,1
82,61.99,1,,0.0,0
82,61.99,2,80,0.0,1
82,61.99,3,140,0.0,1
82,61.99,4,149,0.0,1
82,63.99,0,98,0.999,1
82,63.99,1,,0.0,0
82,63.99,2,80,0.0,1
82,63.99,3,140,0.0,1
82,63.99,4,149,0.0,1
82,65.99,0,97,0.999,1
82,65.99,1,,0.0,0
82,65.99,2,80,0.0,1
82,65.99,3,140,0.0,1
82,65.99,4,144,0.678,1
82,67.99,0,97,0.999,1
82,67.99,1,,0.0,0
82,67.99,2,80,0.0,1
82,67.99,3,140,0.0,1
82,67.99,4,144,0.685,1
82,69.99,0,97,1.0,1
82,69.99,1,,0.0,0
82,69.99,2,80,0.0,1
82,69.99,3,140,0.0,1
82,69.99,4,143,0.024,1
82,71.99,0,98,1.0,1
82,71.99,1,,0.0,0
82,71.99,2,80,0.181,1
82,71.99,3,140,0.0,1
82,71.99,4,141,0.839,1
82,73.99,0,101,0.99,1
82,73.99,1,,0.0,0
82,73.99,2,80,0.0,1
82,73.99,3,140,0.0,1
82,73.99,4,141,0.95,1
82,75.99,0,102,0.546,1
82,75.99,1,,0.0,0
82,75.99,2,80,0.0,1
82,75.99,3,140,0.0,1
82,75.99,4,141,0.0,1
82,77.99,0,102,0.0,1
82,77.99,1,,0.0,0
82,77.99,2,80,0.0,1
82,77.99,3,140,0.0,1
82,77.99,4,138,0.878,1
82,79.99,0,103,0.991,1
82,79.99,1,,0.0,0
82,79.99,2,80,0.0,1
82,79.99,3,140,0.0,1
82,79.99,4,138,0.0,1
82,81.99,0,103,0.0,1
82,81.99,1,,0.0,0
82,81.99,2,80,0.0,1
82,81.99,3,140,0.0,1
82,81.99,4,136,0.478,1
82,83.99,0,103,0.995,1
82,83.99,1,,0.0,0
82,83.99,2,90,0.332,1
82,83.99,3,140,0.0,1
82,83.99,4,136,0.0,1
82,85.99,0,103,0.935,1
82,85.99,1,,0.0,0
82,85.99,2,90,0.0,1
82,85.99,3,140,0.0,1
82,85.99,4,136,0.456,1
82,87.99,0,103,0.773,1
82,87.99,1,,0.0,0
82,87.99,2,90,0.0,1
82,87.99,3,140,0.0,1
82,87.99,4,137,0.87,1
82,89.99,0,103,0.0,1
82,89.99,1,,0.0,0
82,89.99,2,90,0.0,1
82,89.99,3,140,0.0,1
82,89.99,4,138,0.666,1
82,91.99,0,103,0.0,1
82,91.99,1,,0.0,0
82,91.99,2,90,0.0,1
82,91.99,3,140,0.0,1
82,91.99,4,140,0.553,1
82,93.99,0,103,0.728,1
82,93.99,1,,0.0,0
82,93.99,2,90,0.0,1
82,93.99,3,140,0.0,1
82,93.99,4,149,0.675,1
82,95.99,0,104,0.377,1
82,95.99,1,,0.0,0
82,95.99,2,90,0.0,1
