accuracy,loss,val_accuracy,val_loss,learning_rate
0.5861440300941467,1.3299281597137451,0.11983471363782883,2.778036594390869,0.0005000000237487257
0.7958067655563354,0.6692304015159607,0.11983471363782883,4.577709197998047,0.0005000000237487257
0.8687329292297363,0.43545258045196533,0.3016528785228729,1.613624930381775,0.0005000000237487257
0.9015496969223022,0.29234078526496887,0.5165289044380188,1.4164389371871948,0.0005000000237487257
0.9298085570335388,0.22981297969818115,0.93388432264328,0.24864724278450012,0.0005000000237487257
0.9170464873313904,0.2567799687385559,0.9504132270812988,0.13102789223194122,0.0005000000237487257
0.9480401277542114,0.1612698882818222,0.942148745059967,0.17999601364135742,0.0005000000237487257
0.9553326964378357,0.15442243218421936,0.93388432264328,0.17459838092327118,0.0005000000237487257
0.9571558833122253,0.13073988258838654,0.9834710955619812,0.06546467542648315,0.0005000000237487257
0.9671832323074341,0.09770425409078598,0.9752066135406494,0.10113812983036041,0.0005000000237487257
0.9854147434234619,0.07551460713148117,0.8057851195335388,1.0471763610839844,0.0005000000237487257
0.9717411398887634,0.08635829389095306,0.28099173307418823,6.176627159118652,0.0005000000237487257
0.9316317439079285,0.18370485305786133,0.9876033067703247,0.08742358535528183,0.0005000000237487257
0.9589790105819702,0.11144064366817474,0.8016529083251953,0.5613052248954773,0.0005000000237487257
0.9662716388702393,0.11646007001399994,0.9834710955619812,0.11982756853103638,0.0005000000237487257
0.9790337085723877,0.0704975426197052,0.9958677887916565,0.05526362359523773,0.0005000000237487257
0.9808568954467773,0.05598391219973564,0.9876033067703247,0.07669896632432938,0.0005000000237487257
0.9863263368606567,0.04040567949414253,0.9917355179786682,0.046768415719270706,0.0005000000237487257
0.9808568954467773,0.05613578483462334,0.9752066135406494,0.07764555513858795,0.0005000000237487257
0.9799453020095825,0.07711195200681686,0.9917355179786682,0.05665404349565506,0.0005000000237487257
0.9826800227165222,0.04145512729883194,0.9917355179786682,0.06254307180643082,0.0002500000118743628
0.9872379302978516,0.035346437245607376,0.9917355179786682,0.05316490679979324,0.0002500000118743628
0.9881495237350464,0.034095972776412964,0.9876033067703247,0.05900326371192932,0.0002500000118743628
0.9826800227165222,0.049387454986572266,0.9917355179786682,0.04963831230998039,0.0002500000118743628
0.9945305585861206,0.026308326050639153,0.9876033067703247,0.051337990909814835,0.0001250000059371814
0.9890610575675964,0.034680310636758804,0.9876033067703247,0.0520818792283535,0.0001250000059371814
