fold,val_accuracy,val_macro_f1_present_classes,val_macro_f1_all_classes,best_epoch,best_val_accuracy_during_training,epochs_ran,train_images,val_images,train_groups,val_groups,missing_val_labels
1,0.9906191369606003,0.9905905742063253,0.9905905742063253,17,0.9906191229820251,27,806,533,"v02,v06,v08,v09,v12,v14,v21,v22","v04,v05,v15,v17,v20",
2,0.9680851063829787,0.9676469470145881,0.9676469470145881,30,0.9680851101875305,40,775,564,"v04,v05,v12,v14,v15,v17,v20,v21","v02,v06,v08,v09,v22",
3,0.9917355371900827,0.9941090715102016,0.8520934898658871,22,0.9917355179786682,32,1097,242,"v02,v04,v05,v06,v08,v09,v15,v17,v20,v22","v12,v14,v21",0_healthy
