fold,val_accuracy,val_macro_f1_present_classes,val_macro_f1_all_classes,best_epoch,best_val_accuracy_during_training,epochs_ran,train_images,val_images,train_groups,val_groups,missing_val_labels
1,0.9887429643527205,0.9854708298172022,0.9854708298172022,16,0.9887429475784302,26,806,533,"v02,v06,v08,v09,v12,v14,v21,v22","v04,v05,v15,v17,v20",
2,0.8634751773049646,0.856414673244785,0.856414673244785,8,0.8634752035140991,18,775,564,"v04,v05,v12,v14,v15,v17,v20,v21","v02,v06,v08,v09,v22",
3,0.987603305785124,0.9884588832889745,0.8472504713905495,26,0.9876033067703247,36,1097,242,"v02,v04,v05,v06,v08,v09,v15,v17,v20,v22","v12,v14,v21",0_healthy
