fold,val_accuracy,val_macro_f1_present_classes,val_macro_f1_all_classes,best_epoch,best_val_accuracy_during_training,epochs_ran,train_images,val_images,train_groups,val_groups,missing_val_labels
1,0.9906191369606003,0.986630173673363,0.986630173673363,15,0.9906191229820251,25,806,533,"v02,v06,v08,v09,v12,v14,v21,v22","v04,v05,v15,v17,v20",
2,0.9822695035460993,0.9808918250519616,0.9808918250519616,34,0.9822695255279541,44,775,564,"v04,v05,v12,v14,v15,v17,v20,v21","v02,v06,v08,v09,v22",
3,0.9958677685950413,0.9981684981684982,0.8555729984301413,19,0.9958677887916565,29,1097,242,"v02,v04,v05,v06,v08,v09,v15,v17,v20,v22","v12,v14,v21",0_healthy
