clip_id,timestamp,raw_text,match_time_seconds
48,0.0,,
48,2.0,,
48,4.0,,
48,6.0,,
48,8.0,,
48,10.0,,
48,12.0,,
48,14.0,,
48,16.0,,
48,18.0,,
48,20.0,00:08,8
48,22.0,88:1,
48,24.0,0:2,
48,26.0,00:14,14
48,28.0,00:16,16
48,30.0,08:18,498
48,32.0,8:20,500
48,34.0,0:22,22
48,36.0,08:24,504
48,38.0,08:26,506
48,40.0,08:28,508
48,42.0,0:30,30
48,44.0,0:32,32
48,46.0,00:34,34
48,48.0,0:36,36
48,50.0,08:38,518
48,52.0,0:40,40
48,54.0,0:42,42
48,56.0,00:44,44
48,58.0,00:46,46
48,60.0,00:48,48
48,62.0,0:50,50
48,64.0,0:52,52
48,66.0,00:54,54
48,68.0,0:56,56
48,70.0,0:58,58
48,72.0,8:00,480
48,74.0,8:82,
48,76.0,81:04,
48,78.0,0:06,6
48,80.0,8:08,488
48,82.0,0:0,
48,84.0,8:2,
48,86.0,01:4,
48,88.0,01:16,76
48,90.0,01:18,78
48,92.0,0:20,20
48,94.0,0:22,22
48,96.0,01:24,84
48,98.0,0:26,26
48,100.0,0:28,28
48,102.0,8:30,510
48,104.0,8:3,
48,106.0,01:34,94
48,108.0,01:36,96
48,110.0,01:38,98
48,112.0,0:40,40
48,114.0,0:42,42
48,116.0,01:44,104
48,118.0,0:46,46
48,120.0,0:48,48
48,122.0,8:50,530
48,124.0,0:52,52
48,126.0,01:54,114
48,128.0,0:56,56
48,130.0,8:58,538
48,132.0,02:00,120
48,134.0,02:82,
48,136.0,02:04,124
48,138.0,02:06,126
48,140.0,02:08,128
48,142.0,02:1,
48,144.0,02:12,132
48,146.0,02:14,134
48,148.0,02:16,136
48,150.0,02:18,138
48,152.0,82:20,
48,154.0,02:22,142
48,156.0,02:24,144
48,158.0,02:26,146
48,160.0,02:28,148
48,162.0,02:30,150
48,164.0,0232,
48,166.0,02:34,154
48,168.0,02:36,156
48,170.0,02:38,158
48,172.0,02:40,160
48,174.0,02:42,162
48,176.0,02:44,164
48,178.0,02:46,166
48,180.0,02:48,168
48,182.0,82:50,
48,184.0,8252,
48,186.0,02:54,174
48,188.0,02:56,176
48,190.0,02:58,178
48,192.0,03:00,180
48,194.0,03:82,
48,196.0,03:04,184
48,198.0,03:06,186
48,200.0,03:08,188
48,202.0,03:10,190
48,204.0,03:12,192
48,206.0,03:14,194
48,208.0,03:16,196
48,210.0,03:18,198
48,212.0,03:20,200
48,214.0,03:22,202
48,216.0,03:24,204
48,218.0,03:26,206
48,220.0,03:28,208
48,222.0,03:30,210
48,224.0,03:32,212
48,226.0,03:34,214
48,228.0,03:36,216
48,230.0,03:38,218
48,232.0,03:40,220
48,234.0,03:42,222
48,236.0,03:44,224
48,238.0,03:46,226
48,240.0,03:48,228
48,242.0,03:50,230
48,244.0,03:52,232
48,246.0,03:54,234
48,248.0,03:56,236
48,250.0,03:58,238
48,252.0,04:00,240
48,254.0,04:02,242
48,256.0,04:04,244
48,258.0,04:06,246
48,260.0,04:08,248
48,262.0,04:0,
48,264.0,04:2,
48,266.0,04:4,
48,268.0,04:16,256
48,270.0,04:18,258
48,272.0,04:20,260
48,274.0,0422,
48,276.0,04:24,264
48,278.0,04:6,
48,280.0,04:28,268
48,282.0,0430,
48,284.0,04832,
48,286.0,04834,
48,288.0,04236,
48,290.0,04238,
48,292.0,04:40,280
48,294.0,04842,
48,296.0,04844,
48,298.0,04:46,286
48,300.0,04:48,288
48,302.0,04:50,290
48,304.0,0452,
48,306.0,04854,
48,308.0,04856,
48,310.0,04:58,298
48,312.0,05:00,300
48,314.0,0582,
48,316.0,05:04,304
48,318.0,05:06,306
48,320.0,05:08,308
48,322.0,05:10,310
48,324.0,05:1,
48,326.0,05:14,314
48,328.0,05:16,316
48,330.0,05:18,318
48,332.0,05:20,320
48,334.0,05:22,322
48,336.0,05:24,324
48,338.0,05:26,326
48,340.0,05:28,328
48,342.0,05:30,330
48,344.0,05:2,
48,346.0,05:34,334
48,348.0,05:36,336
48,350.0,05:38,338
48,352.0,05:40,340
48,354.0,05:42,342
48,356.0,05:44,344
48,358.0,05:46,346
48,360.0,05:48,348
48,362.0,05:50,350
48,364.0,0592,
48,366.0,05:54,354
48,368.0,05:56,356
48,370.0,05:58,358
48,372.0,06:0,
48,374.0,06:82,
48,376.0,06:04,364
48,378.0,06:06,366
48,380.0,06:08,368
48,382.0,06:1,
48,384.0,0612,
48,386.0,06:14,374
48,388.0,06:16,376
48,390.0,06:18,378
48,392.0,06:0,
48,394.0,0622,
48,396.0,06:24,384
48,398.0,06:26,386
48,400.0,06:28,388
48,402.0,06:30,390
48,404.0,06:32,392
48,406.0,06:34,394
48,408.0,06:36,396
48,410.0,06:38,398
48,412.0,06:40,400
48,414.0,06:42,402
48,416.0,06:44,404
48,418.0,06:46,406
48,420.0,06:48,408
48,422.0,06:50,410
48,424.0,0652,
48,426.0,06:54,414
48,428.0,06:56,416
48,430.0,06:58,418
48,432.0,07:8,
48,434.0,07:82,
48,436.0,07:04,424
48,438.0,07:06,426
48,440.0,07:08,428
48,442.0,8:,
48,444.0,8:2,
48,446.0,07:4,
48,448.0,07:16,436
48,450.0,07:18,438
48,452.0,8:20,500
48,454.0,07:22,442
48,456.0,07:24,444
48,458.0,07:26,446
48,460.0,07:28,448
48,462.0,7:30,450
48,464.0,,
