clip_id,timestamp,raw_text,match_time_seconds
8,0.0,8:2,
8,2.0,00:22,22
8,4.0,00:24,24
8,6.0,00:26,26
8,8.0,00:28,28
8,10.0,88:30,
8,12.0,032,
8,14.0,00:34,34
8,16.0,00:36,36
8,18.0,00:38,38
8,20.0,00:40,40
8,22.0,00:42,42
8,24.0,00:44,44
8,26.0,00:46,46
8,28.0,00:48,48
8,30.0,8:5,
8,32.0,0:52,52
8,34.0,00:54,54
8,36.0,00:56,56
8,38.0,00:58,58
8,40.0,0:80,
8,42.0,8:82,
8,44.0,01:04,64
8,46.0,0:06,6
8,48.0,0:08,8
8,50.0,0:,
8,52.0,0:2,
8,54.0,01:74,
8,56.0,01:76,
8,58.0,0:8,
8,60.0,8:20,500
8,62.0,8:22,502
8,64.0,01:24,84
8,66.0,0:26,26
8,68.0,0:28,28
8,70.0,8:30,510
8,72.0,8:32,512
8,74.0,01:34,94
8,76.0,01:36,96
8,78.0,0:38,38
8,80.0,01:40,100
8,82.0,0:42,42
8,84.0,01:44,104
8,85.99,0:46,46
8,87.99,01:48,108
8,89.99,8:58,538
8,91.99,852,
8,93.99,01:54,114
8,95.99,0:56,56
8,97.99,0:58,58
8,99.99,02:0,
8,101.99,02:02,122
8,103.99,02:04,124
8,105.99,02:06,126
8,107.99,02:08,128
8,109.99,82:,
8,111.99,82:2,
8,113.99,02:14,134
8,115.99,02:76,
8,117.99,02:18,138
8,119.99,82:0,
8,121.99,02:22,142
8,123.99,02:24,144
8,125.99,02:26,146
8,127.99,02:28,148
8,129.99,82:30,
8,131.99,02:32,152
8,133.99,02:34,154
8,135.99,02:36,156
8,137.99,02:38,158
8,139.99,02:40,160
8,141.99,02:42,162
8,143.99,02:44,164
8,145.99,02:46,166
8,147.99,02:48,168
8,149.99,02:50,170
8,151.99,02:52,172
8,153.99,02:54,174
8,155.99,02:56,176
8,157.99,02:58,178
8,159.99,03:00,180
8,161.99,03:82,
8,163.99,03:04,184
8,165.99,03:06,186
8,167.99,03:08,188
8,169.99,03:10,190
8,171.99,03:12,192
8,173.99,03:14,194
8,175.99,03:16,196
8,177.99,03:18,198
8,179.99,03:0,
8,181.99,03:22,202
8,183.99,03:24,204
8,185.99,03:26,206
8,187.99,03:28 28,208
8,189.99,03:30,210
8,191.99,03:32,212
8,193.99,03:34,214
8,195.99,03:36,216
8,197.99,03:38,218
8,199.99,03:40,220
8,201.99,03:42,222
8,203.99,03:44,224
8,205.99,03:46,226
8,207.99,03:48,228
8,209.99,03:50,230
8,211.99,03:52,232
8,213.99,03:54,234
8,215.99,03:56,236
8,217.99,03:58,238
8,219.99,04:00,240
8,221.99,04:02,242
8,223.99,04:04,244
8,225.99,04:06,246
8,227.99,04:08,248
8,229.99,04:0,
8,231.99,042,
8,233.99,04:14,254
8,235.99,04:76,
8,237.99,04:18,258
8,239.99,04:0,
8,241.99,04:2,
8,243.99,04:4,
8,245.99,04:6,
8,247.99,04:28,268
8,249.99,04:30,270
8,251.99,04:2,
8,253.98,04:34,274
8,255.98,04:36,276
8,257.98,04:38,278
8,259.98,04:40,280
8,261.98,04:42,282
8,263.98,04:44,284
8,265.98,04:46,286
8,267.98,04:48,288
8,269.98,04:50,290
8,271.98,04:52,292
8,273.98,04:54,294
8,275.98,04:56,296
8,277.98,04:58,298
8,279.98,05:8,
8,281.98,05:02,302
8,283.98,05:04,304
8,285.98,05:06,306
8,287.98,05:08,308
8,289.98,05:0,
8,291.98,05:2,
8,293.98,05:74,
8,295.98,05:16,316
8,297.98,05:18,318
8,299.98,05:20,320
8,301.98,05:22,322
8,303.98,05:24,324
8,305.98,05:26,326
8,307.98,05:28,328
8,309.98,05:30,330
8,311.98,05:32,332
8,313.98,0534,
8,315.98,05:36,336
8,317.98,05:38,338
8,319.98,05:40,340
8,321.98,05:42,342
8,323.98,05:44,344
8,325.98,05:46,346
8,327.98,05:48,348
8,329.98,,
8,331.98,,
8,333.98,,
8,335.98,,
8,337.98,,
8,339.98,,
8,341.98,,
